iter	Logloss
425	0.09852290039
426	0.09832877808
427	0.09810257568
428	0.09798887939
429	0.09774281006
430	0.09759147949
431	0.09742416992
432	0.09725025635
433	0.09712348633
434	0.09704887085
435	0.09688936768
436	0.09673780518
437	0.09659885864
438	0.09637873535
439	0.09622901611
440	0.09607731323
441	0.09596242676
442	0.09587356567
443	0.09581213989
444	0.09560875244
445	0.09547419434
446	0.09537396851
447	0.09521063232
448	0.09490418091
449	0.09478862305
450	0.09455369873
451	0.0944218689
452	0.09430593872
453	0.09422214966
454	0.09407286377
455	0.09392963867
456	0.09384561768
457	0.0937604248
458	0.09361486816
459	0.09346955566
460	0.09333182373
461	0.09317358398
462	0.09303386841
463	0.09291419678
464	0.09280799561
465	0.09265541382
466	0.09241847534
467	0.09225563354
468	0.09211369019
469	0.09192670898
470	0.09178538818
471	0.09166005859
472	0.09151303101
473	0.09142819824
474	0.09121398315
475	0.09100506592
476	0.09084022217
477	0.09070234375
478	0.09060452881
479	0.09047418213
480	0.09029957275
481	0.09016534424
482	0.08991260986
483	0.08984923096
484	0.08969194946
485	0.08952058105
486	0.0893348999
487	0.0892413208
488	0.08913978271
489	0.08896399536
490	0.08884011841
491	0.08872331543
492	0.08859320068
493	0.08842437744
494	0.08826462402
495	0.08815517578
496	0.08807700806
497	0.0878904541
498	0.08770743408
499	0.08761740723
500	0.08745410767
501	0.08729874268
502	0.08718384399
503	0.08705690918
504	0.08688725586
505	0.08680454102
506	0.08665257568
507	0.08648201904
508	0.08630432129
509	0.08615139771
510	0.08600927734
511	0.08582701416
512	0.0857060791
513	0.08556341553
514	0.08543448486
515	0.08535184326
516	0.08527612305
517	0.0851713501
518	0.08508378906
519	0.0848946106
520	0.0847401001
521	0.08459353027
522	0.08448735962
523	0.08439961548
524	0.08427434692
525	0.08408687744
526	0.08396820068
527	0.08380576172
528	0.08371113281
529	0.0836331665
530	0.08348256836
531	0.08340281982
532	0.08323145142
533	0.08313653564
534	0.08297411499
535	0.08284290771
536	0.08267597046
537	0.0825590332
538	0.08248290405
539	0.08235942383
540	0.08222954712
541	0.08210231323
542	0.08195946045
543	0.08181315918
544	0.08170472412
545	0.0815300354
546	0.08137489014
547	0.08118080444
548	0.08104638672
549	0.08095839844
550	0.08090749512
551	0.0807897583
552	0.08059025879
553	0.08050744629
554	0.08042869873
555	0.08029284668
556	0.08023587646
557	0.08006308594
558	0.07990150146
559	0.07974487305
560	0.07964782715
561	0.07952420654
562	0.07945963135
563	0.07938481445
564	0.07927906494
565	0.07916505127
566	0.07907182617
567	0.07893665771
568	0.0788546875
569	0.07879064941
570	0.07864620361
571	0.07857224121
572	0.078475354
573	0.07839780273
574	0.07829967041
575	0.07816271973
576	0.07794301147
577	0.07786395264
578	0.07774196777
579	0.07766242676
580	0.07752789307
581	0.07737779541
582	0.07725537109
583	0.07720155029
584	0.07702969971
585	0.07688901367
586	0.07672651367
587	0.0765736084
588	0.07646488647
589	0.07639564209
590	0.076302771
591	0.07624036865
592	0.07610380859
593	0.07595404053
594	0.07582816162
595	0.07577315674
596	0.07569054565
597	0.07557202148
598	0.07543651733
599	0.0753451355
600	0.07526827393
601	0.0750980835
602	0.07503964844
603	0.07495184326
604	0.07483684692
605	0.07476971436
606	0.07469361572
607	0.07461983643
608	0.07450544434
609	0.07444798584
610	0.07433782959
611	0.07424578247
612	0.07412294922
613	0.07407402344
614	0.07398674316
615	0.07394002075
616	0.07377131958
617	0.0737006897
618	0.07354351807
619	0.07344295044
620	0.07329716187
621	0.07321291504
622	0.07305496826
623	0.07291536865
624	0.07282120361
625	0.07273760376
626	0.07267272949
627	0.07260098877
628	0.07251802368
629	0.07238125
630	0.07227023315
631	0.07216803589
632	0.0720355835
633	0.07196524048
634	0.07190073242
635	0.07180336914
636	0.07171385498
637	0.07159908447
638	0.07154842529
639	0.07148631592
640	0.07140963135
641	0.07129708252
642	0.07114898682
643	0.07101290894
644	0.07089080811
645	0.07080688477
646	0.07068408203
647	0.07055699463
648	0.07042605591
649	0.07036848755
650	0.07029101562
651	0.07023458862
652	0.07011485596
653	0.06996456299
654	0.06987973022
655	0.06975153809
656	0.06961931152
657	0.06955518188
658	0.06952049561
659	0.06945253296
660	0.0693968689
661	0.06931748657
662	0.06917540894
663	0.06909268799
664	0.06897704468
665	0.06886895752
666	0.06875531006
667	0.06870695801
668	0.06863930664
669	0.06857816162
670	0.06850734863
671	0.06841461792
672	0.06832706909
673	0.0682204834
674	0.06809906006
675	0.06802318726
676	0.06797514648
677	0.06787449951
678	0.06778139648
679	0.06767931519
680	0.06759495239
681	0.06746465454
682	0.06733630371
683	0.06722939453
684	0.06712770996
685	0.06708224487
686	0.06700369873
687	0.06691032104
688	0.06685229492
689	0.06679034424
690	0.06664534302
691	0.06655096436
692	0.06651522217
693	0.06646243896
694	0.06636176147
695	0.06626843872
696	0.06614091797
697	0.06599453125
698	0.06594060059
699	0.06583401489
700	0.06574438477
701	0.06565066528
702	0.06555986328
703	0.06548299561
704	0.06534524536
705	0.06529685669
706	0.06516571045
707	0.06507197876
708	0.06496834717
709	0.06489512329
710	0.06477530518
711	0.06468955078
712	0.06465065918
713	0.06458041992
714	0.06449138184
715	0.0643855957
716	0.06429421387
717	0.06419316406
718	0.0641229126
719	0.06406451416
720	0.06400889282
721	0.06394815674
722	0.06385100708
723	0.06376845703
724	0.06368236084
725	0.06362857666
726	0.06358676147
727	0.06350081787
728	0.0634454834
729	0.06336339111
730	0.06327625732
731	0.06319725342
732	0.06312196045
733	0.06304321289
734	0.06297941284
735	0.06288751831
736	0.06283314209
737	0.0627692627
738	0.06269060059
739	0.06263579102
740	0.06254537354
741	0.06245136719
742	0.06237064819
743	0.0622838623
744	0.0622076416
745	0.06213383179
746	0.06206334229
747	0.0619970459
748	0.06196459961
749	0.06189144897
750	0.06184260254
751	0.06173806763
752	0.06164625244
753	0.06156871338
754	0.0614796936
755	0.06141911621
756	0.06136585693
757	0.06128406982
758	0.06121635742
759	0.06118878784
760	0.06112624512
761	0.06105043945
762	0.06100961914
763	0.06098009644
764	0.06079099731
765	0.06071937866
766	0.06063789063
767	0.06055866699
768	0.06047294312
769	0.06040715942
770	0.06034107666
771	0.06028704224
772	0.06022495728
773	0.06015892944
774	0.06008716431
775	0.05997893066
776	0.05991865234
777	0.0598538147
778	0.05977880859
779	0.05970551147
780	0.05965402222
781	0.05960299072
782	0.05952148438
783	0.05945927734
784	0.0593989502
785	0.05932271729
786	0.05925201416
787	0.05916942139
788	0.05911908569
789	0.05900231934
790	0.05895726318
791	0.05891134033
792	0.05886381226
793	0.05880175781
794	0.05872583008
795	0.05866243896
796	0.0586133667
797	0.05855056763
798	0.05848396606
799	0.05844002686
800	0.05838458252
801	0.0583571167
802	0.05829909668
803	0.05820385742
804	0.05814268799
805	0.05806066895
806	0.05799698486
807	0.05793863525
808	0.05788039551
809	0.05783781128
810	0.05777003174
811	0.05764793091
812	0.05758520508
813	0.0574819458
814	0.05745178223
815	0.05734604492
816	0.05727208252
817	0.05718310547
818	0.05708133545
819	0.05699714355
820	0.05695387573
821	0.05689106445
822	0.05683972168
823	0.0567992981
824	0.05673857422
825	0.05664532471
826	0.0565848999
827	0.05652649536
828	0.05646102295
829	0.05639259033
830	0.05633024902
831	0.0563029541
832	0.05620869141
833	0.05613859863
834	0.0561095459
835	0.05600955811
836	0.05593045654
837	0.05587357178
838	0.0558145813
839	0.05575170898
840	0.05568890381
841	0.05558737793
842	0.0555404541
843	0.05549091797
844	0.05545114746
845	0.05539313354
846	0.05533568726
847	0.05526968994
848	0.05518339233
849	0.05508912354
850	0.05503609619
851	0.05501331787
852	0.05486386108
853	0.0548373291
854	0.05473131104
855	0.05466865845
856	0.05458387451
857	0.05452434082
858	0.05441813965
859	0.05436530762
860	0.05432746582
861	0.05426918945
862	0.05417595825
863	0.05412658691
864	0.05403623047
865	0.05400865479
866	0.053962146
867	0.05391126709
868	0.05386456299
869	0.0537803833
870	0.05373534546
871	0.05368009644
872	0.0536284729
873	0.05357205811
874	0.05348291016
875	0.05342559814
876	0.05338186035
877	0.05332786865
878	0.05327459106
879	0.05324688721
880	0.05318591309
881	0.05311970825
882	0.05305875244
883	0.05298494873
884	0.05293112793
885	0.05284458618
886	0.05279685669
887	0.05275593872
888	0.05265874634
889	0.05260078125
890	0.05255319824
891	0.05246968384
892	0.05240665894
893	0.05234497681
894	0.05230556641
895	0.05225576782
896	0.05221728516
897	0.05217474976
898	0.05210958252
899	0.05202381592
900	0.05191616211
901	0.05186943359
902	0.05181334229
903	0.05173192749
904	0.05167247314
905	0.05161546631
906	0.05156468506
907	0.05152311401
908	0.05146765137
909	0.05143080444
910	0.05139072266
911	0.05136885986
912	0.05127119141
913	0.0512173584
914	0.051139505
915	0.05105867004
916	0.05100566101
917	0.05094584045
918	0.05086754456
919	0.05084407349
920	0.05080091858
921	0.0507703949
922	0.05073225098
923	0.05068187256
924	0.05064386597
925	0.05056897888
926	0.05051174622
927	0.05043157654
928	0.05039393005
929	0.05035673828
930	0.05027586975
931	0.05022024536
932	0.05014794312
933	0.05010227966
934	0.05006001587
935	0.05000202026
936	0.04997428589
937	0.04988913879
938	0.0498496521
939	0.04979289856
940	0.04975714111
941	0.04971712646
942	0.04961846924
943	0.04952646179
944	0.04948548889
945	0.04945192261
946	0.04940887146
947	0.04930946045
948	0.04928162842
949	0.04923530884
950	0.04920480957
951	0.04917282715
952	0.04913693237
953	0.04910064697
954	0.04904642944
955	0.04899881592
956	0.04891184692
957	0.04886759644
958	0.04882243042
959	0.04876721191
960	0.04862549438
961	0.04852722168
962	0.04848534241
963	0.04843641663
964	0.04838812561
965	0.04831646729
966	0.04822265015
967	0.04815658569
968	0.04812055054
969	0.0480737854
970	0.04803367615
971	0.04798895874
972	0.04792735596
973	0.04790514221
974	0.0478835022
975	0.04784012756
976	0.04780563965
977	0.0477479126
978	0.0476989502
979	0.04762276611
980	0.04757219849
981	0.04752796021
982	0.04749501038
983	0.0474203125
984	0.04738651733
985	0.0473408783
986	0.04728675537
987	0.04723854065
988	0.04720065308
989	0.04716677551
990	0.04710751343
991	0.0470598999
992	0.04701737061
993	0.04696539612
994	0.0469201416
995	0.0468526001
996	0.04683588562
997	0.04680245361
998	0.04675660706
999	0.04671290894
